epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,6438.14,1.64782,2.48968,0.37802,0.51988,0.29237,0.29428,0.21821,1.82897,5.77737,0.39151,0.00631066,0.00631066,0.00631066
76,6521.07,1.62948,2.44933,0.37645,0.56692,0.28224,0.29279,0.2161,1.84248,5.82089,0.39208,0.0062608,0.0062608,0.0062608
77,6604.14,1.64373,2.45065,0.37723,0.57173,0.27973,0.29802,0.2211,1.84041,5.7994,0.39342,0.00621094,0.00621094,0.00621094
78,6687.87,1.65159,2.45155,0.37813,0.55371,0.28181,0.29713,0.22054,1.85665,5.83285,0.39507,0.00616109,0.00616109,0.00616109
79,6771.1,1.62406,2.42086,0.37637,0.53736,0.28913,0.29481,0.22069,1.82323,5.80509,0.38894,0.00611123,0.00611123,0.00611123
80,6854.26,1.62973,2.39584,0.37541,0.52148,0.30132,0.30581,0.2263,1.83392,5.79179,0.38982,0.00606138,0.00606138,0.00606138
81,6937.66,1.62113,2.35996,0.37441,0.52572,0.29636,0.30516,0.22575,1.84,5.80271,0.39102,0.00601152,0.00601152,0.00601152
82,7021.39,1.62703,2.40299,0.3757,0.5893,0.28086,0.30008,0.22353,1.8168,5.85445,0.38896,0.00596166,0.00596166,0.00596166
83,7105.04,1.60788,2.35216,0.3748,0.58955,0.28873,0.3018,0.22413,1.83589,5.81112,0.3906,0.00591181,0.00591181,0.00591181
84,7188.16,1.61664,2.35479,0.37374,0.56151,0.27566,0.2977,0.22153,1.83275,5.88752,0.39054,0.00586195,0.00586195,0.00586195
85,7271.95,1.59686,2.303,0.37272,0.55503,0.28882,0.30295,0.22669,1.80453,5.82088,0.38586,0.0058121,0.0058121,0.0058121
86,7356.13,1.61952,2.34747,0.37576,0.53974,0.29638,0.3028,0.22488,1.82949,5.84282,0.38823,0.00576224,0.00576224,0.00576224
87,7439.46,1.58464,2.30014,0.37315,0.57224,0.29496,0.30704,0.22758,1.81609,5.77374,0.38849,0.00571238,0.00571238,0.00571238
88,7522.83,1.61047,2.3073,0.3742,0.56077,0.29258,0.30443,0.22655,1.83125,5.81352,0.39102,0.00566253,0.00566253,0.00566253
89,7606.17,1.5837,2.28586,0.37167,0.56115,0.29166,0.30384,0.22666,1.80942,5.75426,0.38901,0.00561267,0.00561267,0.00561267
90,7689.24,1.59507,2.25299,0.3727,0.57752,0.29374,0.30778,0.2304,1.8068,5.7553,0.3896,0.00556282,0.00556282,0.00556282
91,7772.93,1.5917,2.27533,0.37238,0.57894,0.29247,0.30329,0.22468,1.81098,5.81453,0.38819,0.00551296,0.00551296,0.00551296
92,7856.17,1.57315,2.2244,0.37167,0.58033,0.29021,0.3084,0.22876,1.8024,5.74688,0.38766,0.0054631,0.0054631,0.0054631
93,7939.94,1.57335,2.25842,0.37034,0.57096,0.29066,0.30421,0.22723,1.80403,5.79775,0.38705,0.00541325,0.00541325,0.00541325
94,8022.72,1.57111,2.21635,0.36937,0.56248,0.29733,0.31022,0.23205,1.80189,5.7405,0.38655,0.00536339,0.00536339,0.00536339
95,8105.88,1.58419,2.19786,0.36878,0.54266,0.30318,0.31137,0.23143,1.8073,5.70894,0.38803,0.00531354,0.00531354,0.00531354
96,8189.13,1.56096,2.17135,0.36829,0.55669,0.30063,0.31279,0.23265,1.81399,5.72889,0.38937,0.00526368,0.00526368,0.00526368
97,8272.75,1.5522,2.13685,0.36798,0.59142,0.29306,0.31136,0.23272,1.8148,5.70738,0.38983,0.00521382,0.00521382,0.00521382
98,8355.98,1.54888,2.18361,0.36876,0.56981,0.30449,0.31983,0.2384,1.80764,5.66063,0.38937,0.00516397,0.00516397,0.00516397
99,8438.93,1.53659,2.13304,0.36786,0.56834,0.30704,0.31693,0.23643,1.79212,5.65321,0.38676,0.00511411,0.00511411,0.00511411
100,8522.23,1.55746,2.15901,0.36868,0.5821,0.30112,0.31455,0.23307,1.78576,5.67444,0.385,0.00506426,0.00506426,0.00506426
101,8605.69,1.56325,2.14807,0.36976,0.55882,0.30458,0.31696,0.23553,1.79203,5.73651,0.38681,0.0050144,0.0050144,0.0050144
102,8692.28,1.54073,2.11773,0.36729,0.60742,0.29997,0.31895,0.23803,1.79022,5.75725,0.38663,0.00496454,0.00496454,0.00496454
103,8775.97,1.53629,2.09536,0.36675,0.61728,0.29219,0.31704,0.23656,1.78959,5.75329,0.38716,0.00491469,0.00491469,0.00491469
104,8859.78,1.52926,2.05622,0.36537,0.60929,0.29031,0.31583,0.23697,1.79162,5.76406,0.38708,0.00486483,0.00486483,0.00486483
105,8942.34,1.52909,2.08131,0.36766,0.58812,0.294,0.31633,0.23704,1.79812,5.74859,0.38879,0.00481498,0.00481498,0.00481498
106,9025.12,1.50926,2.04061,0.36579,0.59088,0.29912,0.31829,0.2385,1.80041,5.72001,0.38902,0.00476512,0.00476512,0.00476512
